                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.89684,                 0.4919,                0.82931,                0.91754,                0.84798,                0.92342,                0.69091,                0.82287,                0.50595,                0.80559,             0.00096537,             0.00096537,             0.00096537
                     71,                0.89682,                0.49279,                 0.8335,                0.95765,                0.84078,                0.92384,                  0.689,                0.79501,                0.49601,                0.80519,             0.00096125,             0.00096125,             0.00096125
                     72,                0.91138,                 0.4929,                0.82907,                0.92821,                0.85544,                0.92978,                0.68283,                0.83266,                0.48489,                0.80596,             0.00095712,             0.00095712,             0.00095712
                     73,                 0.9059,                0.48434,                0.83306,                0.91074,                0.86574,                0.92382,                0.67705,                 0.8155,                0.50362,                0.80641,               0.000953,               0.000953,               0.000953
                     74,                0.89422,                0.48392,                0.83115,                0.96811,                0.80197,                0.91819,                0.67448,                0.82881,                0.52007,                0.80944,             0.00094887,             0.00094887,             0.00094887
                     75,                0.90363,                0.48339,                0.83688,                0.98071,                0.82911,                0.93174,                0.69168,                0.79481,                0.49583,                0.80282,             0.00094475,             0.00094475,             0.00094475
                     76,                0.87483,                0.47676,                0.83079,                0.96008,                0.84327,                0.92534,                0.69365,                 0.7984,                0.46929,                0.80434,             0.00094062,             0.00094062,             0.00094062
                     77,                0.89419,                0.48188,                0.83192,                0.95323,                0.85806,                0.92176,                0.67781,                0.80875,                0.50305,                0.80846,              0.0009365,              0.0009365,              0.0009365
                     78,                0.89563,                0.48718,                0.82903,                0.94663,                0.86606,                0.92766,                0.69716,                0.76441,                0.48573,                0.80345,             0.00093238,             0.00093238,             0.00093238
                     79,                0.88123,                0.47897,                0.82967,                0.97272,                0.84199,                0.92359,                0.67387,                0.80581,                0.49961,                0.80603,             0.00092825,             0.00092825,             0.00092825
                     80,                0.84915,                0.45226,                0.82658,                0.97013,                 0.8512,                0.91984,                0.68235,                0.80025,                0.49935,                0.80406,             0.00092413,             0.00092413,             0.00092413
                     81,                0.87562,                0.47745,                0.82736,                0.95784,                0.86814,                0.94123,                0.69085,                0.82025,                0.49001,                0.80459,                0.00092,                0.00092,                0.00092
                     82,                0.85827,                0.46638,                 0.8275,                 0.9531,                0.83738,                  0.922,                0.69753,                0.77371,                0.48789,                0.80474,             0.00091588,             0.00091588,             0.00091588
                     83,                0.87563,                0.47534,                0.82718,                0.92945,                0.85745,                0.92655,                0.68524,                0.77958,                0.48922,                0.80323,             0.00091175,             0.00091175,             0.00091175
                     84,                0.88401,                0.46948,                0.82989,                 0.9287,                0.84297,                0.92667,                0.67839,                0.82519,                0.47899,                0.80747,             0.00090763,             0.00090763,             0.00090763
                     85,                0.87657,                0.47142,                0.82502,                0.94485,                 0.8524,                0.93122,                0.68181,                0.83216,                0.50661,                 0.8064,              0.0009035,              0.0009035,              0.0009035
                     86,                0.85262,                0.46486,                0.82428,                 0.9605,                0.86062,                0.92024,                0.69707,                0.78091,                0.49239,                0.80044,             0.00089938,             0.00089938,             0.00089938
                     87,                0.86299,                0.46831,                0.82796,                0.96256,                0.84453,                 0.9218,                0.68504,                0.80769,                0.48998,                0.80522,             0.00089525,             0.00089525,             0.00089525
                     88,                0.87351,                0.47873,                0.83227,                0.91471,                0.88003,                0.92122,                0.68185,                0.80955,                0.48357,                0.80521,             0.00089112,             0.00089112,             0.00089112
                     89,                0.84943,                0.46574,                0.82424,                0.92581,                0.85213,                0.91504,                0.67974,                0.79521,                 0.5052,                0.80406,               0.000887,               0.000887,               0.000887
                     90,                 0.8626,                0.45956,                0.82699,                0.92483,                0.85429,                0.92653,                0.70008,                0.79365,                0.49473,                0.80665,             0.00088288,             0.00088288,             0.00088288
                     91,                0.85813,                0.45715,                0.82625,                0.97092,                0.79475,                0.92352,                0.69813,                0.78957,                0.50316,                0.80499,             0.00087875,             0.00087875,             0.00087875
                     92,                0.83302,                0.44218,                 0.8269,                0.89449,                0.86182,                0.92826,                 0.7015,                0.76743,                0.48881,                0.80307,             0.00087462,             0.00087462,             0.00087462
                     93,                0.84151,                0.45509,                0.82914,                 0.9532,                0.86373,                0.93505,                0.69053,                0.77217,                 0.4621,                0.80162,              0.0008705,              0.0008705,              0.0008705
                     94,                0.84156,                0.46408,                0.82817,                0.93711,                 0.8518,                0.92524,                0.68845,                0.79768,                0.48765,                 0.8024,             0.00086637,             0.00086637,             0.00086637
                     95,                0.82931,                0.44367,                0.82464,                 0.9281,                 0.8717,                 0.9324,                0.68286,                0.82076,                0.48278,                0.80522,             0.00086225,             0.00086225,             0.00086225
                     96,                 0.8216,                0.44707,                0.82263,                0.92513,                0.87532,                0.93915,                0.69501,                 0.8076,                0.47199,                0.80375,             0.00085813,             0.00085813,             0.00085813
                     97,                0.81075,                0.43601,                0.82251,                0.96579,                0.84353,                0.92712,                0.68977,                 0.7938,                0.48053,                0.80078,               0.000854,               0.000854,               0.000854
                     98,                0.82978,                0.44848,                0.82212,                0.97082,                0.83347,                0.91851,                0.68105,                0.80122,                0.48297,                0.80193,             0.00084988,             0.00084988,             0.00084988
                     99,                0.83066,                0.43664,                0.81928,                0.98127,                0.81859,                0.92928,                0.69921,                0.78886,                0.48122,                0.80249,             0.00084575,             0.00084575,             0.00084575
